ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts,total_count,Month_num,Day_num
2703079,"June 09, 2019 08:00:00 PM",2019,June,9,Sunday,20,37,Lygon St (East),380,5038,6,7
1563217,"July 20, 2016 04:00:00 AM",2016,July,20,Wednesday,4,38,Flinders St-Swanston St (West),97,25944,7,3
2230462,"May 13, 2018 07:00:00 AM",2018,May,13,Sunday,7,4,Town Hall (West),162,66031,5,7
4091816,"January 16, 2022 07:00:00 AM",2022,January,16,Sunday,7,23,Spencer St-Collins St (South),24,7263,1,7
3539411,"February 05, 2021 12:00:00 PM",2021,February,5,Friday,12,7,Birrarung Marr,91,19635,2,5
610723,"April 27, 2013 03:00:00 AM",2013,April,27,Saturday,3,12,New Quay,3,9339,4,6
4160730,"February 12, 2022 05:00:00 PM",2022,February,12,Saturday,17,44,Tin Alley-Swanston St (West),33,2369,2,6
3598041,"March 16, 2021 03:00:00 AM",2021,March,16,Tuesday,3,17,Collins Place (South),4,20168,3,2
3718461,"June 07, 2021 05:00:00 PM",2021,June,7,Monday,17,69,Flinders Ln -Degraves St (Crossing),30,318,6,1
4471347,"September 04, 2022 10:00:00 PM",2022,September,4,Sunday,22,2,Bourke Street Mall (South),107,51884,9,7
3268447,"August 06, 2020 04:00:00 PM",2020,August,6,Thursday,16,39,Alfred Place,20,5676,8,4
151323,"April 26, 2010 01:00:00 PM",2010,April,26,Monday,13,9,Southern Cross Station,104,19152,4,1
2720281,"June 23, 2019 01:00:00 PM",2019,June,23,Sunday,13,22,Flinders St-Elizabeth St (East),2250,44664,6,7
3072405,"March 18, 2020 09:00:00 AM",2020,March,18,Wednesday,9,29,St Kilda Rd-Alexandra Gardens,124,11995,3,3
2628404,"April 10, 2019 01:00:00 PM",2019,April,10,Wednesday,13,44,Tin Alley-Swanston St (West),297,2369,4,3
4484996,"September 09, 2022 01:00:00 PM",2022,September,9,Friday,13,14,Sandridge Bridge,620,22489,9,5
3634238,"April 08, 2021 12:00:00 AM",2021,April,8,Thursday,0,65,Swanston St - City Square,42,2073,4,4
1536131,"June 23, 2016 05:00:00 AM",2016,June,23,Thursday,5,36,Queen St (West),13,5556,6,4
1208231,"July 24, 2015 09:00:00 PM",2015,July,24,Friday,21,39,Alfred Place,97,5676,7,5
490149,"July 19, 2012 05:00:00 PM",2012,July,19,Thursday,17,3,Melbourne Central,2781,36815,7,4
4226,"May 12, 2009 05:00:00 PM",2009,May,12,Tuesday,17,14,Sandridge Bridge,971,22489,5,2
