ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts,total_count,Month_num,Day_num
2723167,"June 25, 2019 09:00:00 PM",2019,June,25,Tuesday,21,59,Swanston St - RMIT Building 80,23,8774,6,2
2536136,"January 23, 2019 01:00:00 AM",2019,January,23,Wednesday,1,18,Collins Place (North),13,43097,1,3
497892,"August 06, 2012 03:00:00 PM",2012,August,6,Monday,15,6,Flinders Street Station Underpass,1615,159391,8,1
232723,"November 06, 2010 03:00:00 AM",2010,November,6,Saturday,3,17,Collins Place (South),28,65975,11,6
4508646,"September 19, 2022 09:00:00 AM",2022,September,19,Monday,9,70,Errol Street (East),144,1197,9,1
1690001,"November 28, 2016 01:00:00 PM",2016,November,28,Monday,13,9,Southern Cross Station,1275,61139,11,1
2303791,"July 15, 2018 01:00:00 PM",2018,July,15,Sunday,13,46,Pelham St (South),126,1722,7,7
3778968,"July 13, 2021 11:00:00 PM",2021,July,13,Tuesday,23,72,Flinders St-ACMI,42,1717,7,2
460248,"May 11, 2012 11:00:00 AM",2012,May,11,Friday,11,18,Collins Place (North),476,43097,5,5
2094939,"January 14, 2018 02:00:00 PM",2018,January,14,Sunday,14,6,Flinders Street Station Underpass,2246,159391,1,7
4299784,"May 14, 2022 11:00:00 AM",2022,May,14,Saturday,11,40,Lonsdale St-Spring St (West),501,16821,5,6
3519364,"January 23, 2021 09:00:00 PM",2021,January,23,Saturday,21,56,Lonsdale St - Elizabeth St (North),285,8815,1,6
3633507,"April 07, 2021 01:00:00 PM",2021,April,7,Wednesday,13,59,Swanston St - RMIT Building 80,674,8774,4,3
2572089,"February 22, 2019 06:00:00 PM",2019,February,22,Friday,18,35,Southbank,3946,80829,2,5
3780639,"July 15, 2021 12:00:00 AM",2021,July,15,Thursday,0,12,New Quay,23,21888,7,4
750298,"January 07, 2014 01:00:00 AM",2014,January,7,Tuesday,1,28,The Arts Centre,24,63067,1,2
965839,"October 17, 2014 07:00:00 AM",2014,October,17,Friday,7,3,Melbourne Central,640,102631,10,5
1790912,"March 17, 2017 05:00:00 PM",2017,March,17,Friday,17,14,Sandridge Bridge,1438,51255,3,5
1222922,"August 09, 2015 12:00:00 PM",2015,August,9,Sunday,12,22,Flinders St-Elizabeth St (East),2237,82570,8,7
3526824,"January 28, 2021 02:00:00 PM",2021,January,28,Thursday,14,55,Elizabeth St-La Trobe St (East),1009,13085,1,4
1389515,"January 29, 2016 09:00:00 PM",2016,January,29,Friday,21,28,The Arts Centre,1195,63067,1,5
2662662,"May 08, 2019 08:00:00 AM",2019,May,8,Wednesday,8,6,Flinders Street Station Underpass,4184,159391,5,3
3581794,"March 05, 2021 02:00:00 PM",2021,March,5,Friday,14,28,The Arts Centre,1159,63067,3,5
4471347,"September 04, 2022 10:00:00 PM",2022,September,4,Sunday,22,2,Bourke Street Mall (South),107,123190,9,7
2352226,"August 24, 2018 11:00:00 AM",2018,August,24,Friday,11,2,Bourke Street Mall (South),1702,123190,8,5
4164116,"February 13, 2022 07:00:00 PM",2022,February,13,Sunday,19,52,Elizabeth St-Lonsdale St (South),350,7823,2,7
217091,"September 28, 2010 12:00:00 AM",2010,September,28,Tuesday,0,8,Webb Bridge,43,20727,9,2
862984,"June 06, 2014 02:00:00 AM",2014,June,6,Friday,2,2,Bourke Street Mall (South),33,123190,6,5
3294361,"August 25, 2020 07:00:00 PM",2020,August,25,Tuesday,19,46,Pelham St (S),14,430,8,2
1439050,"March 19, 2016 02:00:00 AM",2016,March,19,Saturday,2,30,Lonsdale St (South),332,35433,3,6
4078783,"May 31, 2021 05:00:00 AM",2021,May,31,Monday,5,19,Chinatown-Swanston St (North),0,29316,5,1
1594076,"August 20, 2016 01:00:00 PM",2016,August,20,Saturday,13,4,Town Hall (West),3410,167769,8,6
2493323,"December 18, 2018 03:00:00 AM",2018,December,18,Tuesday,3,4,Town Hall (West),26,167769,12,2
4274252,"April 24, 2022 04:00:00 PM",2022,April,24,Sunday,16,78,Harbour Esplanade (West) - Bike Path,105,625,4,7
1777394,"March 03, 2017 05:00:00 AM",2017,March,3,Friday,5,2,Bourke Street Mall (South),18,123190,3,5
2653372,"April 30, 2019 09:00:00 PM",2019,April,30,Tuesday,21,26,QV Market-Elizabeth St (West),413,46675,4,2
3530227,"January 30, 2021 06:00:00 PM",2021,January,30,Saturday,18,25,Melbourne Convention Exhibition Centre,977,56737,1,6
2228620,"May 11, 2018 03:00:00 PM",2018,May,11,Friday,15,48,QVM-Queen St (East),308,8664,5,5
3807933,"July 31, 2021 08:00:00 AM",2021,July,31,Saturday,8,56,Lonsdale St - Elizabeth St (North),71,8815,7,6
162648,"May 22, 2010 06:00:00 PM",2010,May,22,Saturday,18,12,New Quay,425,21888,5,6
4461413,"August 19, 2022 11:00:00 PM",2022,August,19,Friday,23,71,Westwood Place,7,361,8,5
3364290,"October 13, 2020 03:00:00 AM",2020,October,13,Tuesday,3,28,The Arts Centre,21,63067,10,2
2103191,"January 22, 2018 01:00:00 AM",2018,January,22,Monday,1,27,QV Market-Peel St,5,11985,1,1
914003,"August 11, 2014 10:00:00 PM",2014,August,11,Monday,22,31,Lygon St (West),177,19296,8,1
3816565,"August 05, 2021 03:00:00 PM",2021,August,5,Thursday,15,52,Elizabeth St-Lonsdale St (South),297,7823,8,4
318186,"June 06, 2011 04:00:00 PM",2011,June,6,Monday,16,11,Waterfront City,40,10824,6,1
3353230,"October 05, 2020 05:00:00 AM",2020,October,5,Monday,5,20,Chinatown-Lt Bourke St (South),11,26134,10,1
1065758,"February 20, 2015 10:00:00 AM",2015,February,20,Friday,10,18,Collins Place (North),537,43097,2,5
3805352,"July 29, 2021 06:00:00 PM",2021,July,29,Thursday,18,71,Westwood Place,67,361,7,4
737996,"December 21, 2013 07:00:00 PM",2013,December,21,Saturday,19,9,Southern Cross Station,81,61139,12,6
2253251,"June 02, 2018 06:00:00 AM",2018,June,2,Saturday,6,39,Alfred Place,22,14784,6,6
2987062,"January 15, 2020 09:00:00 PM",2020,January,15,Wednesday,21,47,Melbourne Central-Elizabeth St (East),426,43401,1,3
2820766,"September 09, 2019 11:00:00 PM",2019,September,9,Monday,23,8,Webb Bridge,13,20727,9,1
3102373,"April 09, 2020 03:00:00 AM",2020,April,9,Thursday,3,7,Birrarung Marr,5,35973,4,4
2881245,"October 27, 2019 07:00:00 PM",2019,October,27,Sunday,19,43,Monash Rd-Swanston St (West),151,10897,10,7
2101471,"January 20, 2018 12:00:00 PM",2018,January,20,Saturday,12,6,Flinders Street Station Underpass,1953,159391,1,6
988855,"November 15, 2014 05:00:00 PM",2014,November,15,Saturday,17,10,Victoria Point,96,21016,11,6
3362738,"October 12, 2020 12:00:00 AM",2020,October,12,Monday,0,49,QVM-Therry St (South),55,7337,10,1
2489125,"December 14, 2018 04:00:00 PM",2018,December,14,Friday,16,45,Little Collins St-Swanston St (East),2006,29926,12,5
4439697,"August 12, 2022 03:00:00 AM",2022,August,12,Friday,3,30,Lonsdale St (South),26,35433,8,5
852716,"May 23, 2014 11:00:00 PM",2014,May,23,Friday,23,31,Lygon St (West),533,19296,5,5
2786892,"August 14, 2019 01:00:00 PM",2019,August,14,Wednesday,13,35,Southbank,1996,80829,8,3
738383,"December 22, 2013 07:00:00 AM",2013,December,22,Sunday,7,25,Melbourne Convention Exhibition Centre,73,56737,12,7
747971,"January 04, 2014 01:00:00 AM",2014,January,4,Saturday,1,5,Princes Bridge,105,118831,1,6
1133440,"May 07, 2015 11:00:00 AM",2015,May,7,Thursday,11,10,Victoria Point,247,21016,5,4
1452968,"April 01, 2016 11:00:00 PM",2016,April,1,Friday,23,39,Alfred Place,99,14784,4,5
3305721,"September 02, 2020 08:00:00 PM",2020,September,2,Wednesday,20,57,Bourke St Bridge,4,13558,9,3
475886,"June 16, 2012 04:00:00 PM",2012,June,16,Saturday,16,14,Sandridge Bridge,528,51255,6,6
2895555,"November 07, 2019 08:00:00 PM",2019,November,7,Thursday,20,43,Monash Rd-Swanston St (West),163,10897,11,4
67701,"October 14, 2009 11:00:00 PM",2009,October,14,Wednesday,23,15,State Library,186,95844,10,3
1672685,"November 09, 2016 09:00:00 PM",2016,November,9,Wednesday,21,8,Webb Bridge,68,20727,11,3
2705876,"June 12, 2019 02:00:00 AM",2019,June,12,Wednesday,2,24,Spencer St-Collins St (North),11,98980,6,3
2730715,"July 01, 2019 11:00:00 PM",2019,July,1,Monday,23,39,Alfred Place,43,14784,7,1
3279857,"August 15, 2020 07:00:00 AM",2020,August,15,Saturday,7,41,Flinders La-Swanston St (West),119,68374,8,6
1661669,"October 29, 2016 02:00:00 AM",2016,October,29,Saturday,2,31,Lygon St (West),62,19296,10,6
59297,"September 25, 2009 12:00:00 PM",2009,September,25,Friday,12,17,Collins Place (South),2707,65975,9,5
3580317,"March 04, 2021 03:00:00 PM",2021,March,4,Thursday,15,59,Swanston St - RMIT Building 80,882,8774,3,4
4280091,"May 30, 2022 10:00:00 PM",2022,May,30,Monday,22,53,Collins St (North),48,36660,5,1
3097806,"April 05, 2020 06:00:00 PM",2020,April,5,Sunday,18,53,Collins St (North),54,36660,4,7
2677229,"May 20, 2019 05:00:00 AM",2019,May,20,Monday,5,26,QV Market-Elizabeth St (West),48,46675,5,1
801335,"March 15, 2014 12:00:00 PM",2014,March,15,Saturday,12,14,Sandridge Bridge,474,51255,3,6
1874719,"June 17, 2017 08:00:00 AM",2017,June,17,Saturday,8,30,Lonsdale St (South),106,35433,6,6
2395782,"September 28, 2018 05:00:00 PM",2018,September,28,Friday,17,11,Waterfront City,148,10824,9,5
19396,"June 19, 2009 06:00:00 PM",2009,June,19,Friday,18,11,Waterfront City,228,10824,6,5
1431748,"March 11, 2016 08:00:00 PM",2016,March,11,Friday,20,7,Birrarung Marr,2630,35973,3,5
2734441,"July 04, 2019 10:00:00 PM",2019,July,4,Thursday,22,26,QV Market-Elizabeth St (West),237,46675,7,4
4388047,"July 19, 2022 02:00:00 AM",2022,July,19,Tuesday,2,14,Sandridge Bridge,15,51255,7,2
1482473,"May 01, 2016 06:00:00 PM",2016,May,1,Sunday,18,37,Lygon St (East),396,9906,5,7
1646877,"October 13, 2016 11:00:00 AM",2016,October,13,Thursday,11,53,Collins St (North),1390,36660,10,4
2458395,"November 19, 2018 02:00:00 AM",2018,November,19,Monday,2,2,Bourke Street Mall (South),9,123190,11,1
4256159,"April 18, 2022 07:00:00 PM",2022,April,18,Monday,19,47,Melbourne Central-Elizabeth St (East),971,43401,4,1
4227149,"March 18, 2022 02:00:00 AM",2022,March,18,Friday,2,78,Harbour Esplanade (West) - Bike Path,1,625,3,5
1136760,"May 11, 2015 03:00:00 AM",2015,May,11,Monday,3,25,Melbourne Convention Exhibition Centre,11,56737,5,1
246644,"December 12, 2010 04:00:00 AM",2010,December,12,Sunday,4,5,Princes Bridge,98,118831,12,7
3630577,"April 05, 2021 05:00:00 PM",2021,April,5,Monday,17,65,Swanston St - City Square,513,7491,4,1
3035306,"February 20, 2020 10:00:00 AM",2020,February,20,Thursday,10,54,Lincoln-Swanston(West),318,2647,2,4
2628848,"April 10, 2019 10:00:00 PM",2019,April,10,Wednesday,22,36,Queen St (West),112,17094,4,3
3678789,"May 07, 2021 05:00:00 PM",2021,May,7,Friday,17,49,QVM-Therry St (South),89,7337,5,5
3118266,"April 20, 2020 07:00:00 PM",2020,April,20,Monday,19,22,Flinders St-Elizabeth St (East),523,82570,4,1
